benchmark,run,result
function_call,baseline,timeout
function_call,df,timeout
dead-branch,baseline,1196
dead-branch,df,1196
gcd,baseline,46
gcd,df,46
bitshift,baseline,167
bitshift,df,167
totient,baseline,253
totient,df,253
relative-primes,baseline,1923
relative-primes,df,1914
quadratic,baseline,785
quadratic,df,783
birthday,baseline,484
birthday,df,483
catalan,baseline,659378
catalan,df,659378
euclid,baseline,563
euclid,df,562
palindrome,baseline,298
palindrome,df,295
fact,baseline,229
fact,df,228
rectangles-area-difference,baseline,14
rectangles-area-difference,df,14
factors,baseline,72
factors,df,72
sum-bits,baseline,73
sum-bits,df,73
digital-root,baseline,247
digital-root,df,247
recfact,baseline,104
recfact,df,103
lcm,baseline,2326
lcm,df,2326
reverse,baseline,46
reverse,df,46
armstrong,baseline,133
armstrong,df,130
fitsinside,baseline,10
fitsinside,df,10
collatz,baseline,169
collatz,df,169
up-arrow,baseline,252
up-arrow,df,252
fizz-buzz,baseline,3652
fizz-buzz,df,3458
hanoi,baseline,99
hanoi,df,99
pascals-row,baseline,146
pascals-row,df,139
sum-divisors,baseline,159
sum-divisors,df,159
orders,baseline,5352
orders,df,5352
ackermann,baseline,1464231
ackermann,df,1464231
mod_inv,baseline,558
mod_inv,df,556
check-primes,baseline,8468
check-primes,df,8419
is-decreasing,baseline,127
is-decreasing,df,125
perfect,baseline,232
perfect,df,232
pythagorean_triple,baseline,61518
pythagorean_triple,df,61518
loopfact,baseline,116
loopfact,df,115
bitwise-ops,baseline,1690
bitwise-ops,df,1688
binary-fmt,baseline,100
binary-fmt,df,100
primes-between,baseline,574100
primes-between,df,574100
sum-sq-diff,baseline,3038
sum-sq-diff,df,3036
sum-check,baseline,5018
sum-check,df,5018
cordic,baseline,517
cordic,df,516
sqrt,baseline,322
sqrt,df,321
n_root,baseline,733
n_root,df,733
euler,baseline,1908
euler,df,1907
leibniz,baseline,12499997
leibniz,df,12499997
conjugate-gradient,baseline,1999
conjugate-gradient,df,1999
norm,baseline,505
norm,df,504
newton,baseline,217
newton,df,217
pow,baseline,36
pow,df,34
ray-sphere-intersection,baseline,142
ray-sphere-intersection,df,142
riemann,baseline,298
riemann,df,298
mandelbrot,baseline,2720947
mandelbrot,df,2720813
max-subarray,baseline,193
max-subarray,df,192
quickselect,baseline,279
quickselect,df,278
quicksort,baseline,264
quicksort,df,262
major-elm,baseline,47
major-elm,df,46
mat-mul,baseline,1990407
mat-mul,df,1990407
fib,baseline,121
fib,df,120
bubblesort,baseline,253
bubblesort,df,252
sieve,baseline,3482
sieve,df,3454
eight-queens,baseline,1006454
eight-queens,df,959702
two-sum,baseline,98
two-sum,df,88
quicksort-hoare,baseline,27333
quicksort-hoare,df,27333
binary-search,baseline,78
binary-search,df,74
csrmv,baseline,121202
csrmv,df,120652
vsmul,baseline,86036
vsmul,df,86036
adler32,baseline,6851
adler32,df,6850
primitive-root,baseline,11029
primitive-root,df,11024
adj2csr,baseline,56629
adj2csr,df,56629
dot-product,baseline,88
dot-product,df,88
mat-inv,baseline,1044
mat-inv,df,1044
cholesky,baseline,3761
cholesky,df,3750
